;Raison Sociale;Adresses;Telephone
224;Entreprise jean-pierre bounaud;13 r vignes 45240 MARCILLY EN VILLETTE;02 38 76 06 17
225;Bd plomberie chauffage;2 pl mairie 89150 DOLLOT;06 31 13 66 92
226;Hernandez francisco sarl;3 r marc sangnier 45800 SAINT JEAN DE BRAYE;02 38 55 31 79
227;Centre chauffage plomberie;6 pl adrien arnoux 18700 AUBIGNY SUR NÈRE;02 48 71 08 99
228;Carsault patrick;1 r gauthiers coudray 77460 SOUPPES SUR LOING;01 64 29 65 07
229;S'climat;16 r margareth hugues 41500 MER;06 64 42 91 00
230;Cap thermique;64 r mar foch 45370 CLÉRY SAINT ANDRÉ;06 10 41 71 52
231;Vieillard bruno en cessation d'activité retraite;16 r gare 45170 NEUVILLE AUX BOIS;02 38 91 15 19
232;Br plomberie chauffage;55 imp grands champs 45450 DONNERY;02 38 57 32 87
233;Longuepee david;10 ham chamault 77460 CHAINTREAUX;01 72 66 22 55
234;Minier marc;12 r conie 28150 EOLE EN BEAUCE;02 37 31 25 37
235;Thion jerome;39 bis r clemont 45720 COULLONS;02 38 29 28 48
236;Hernandez francisco sarl;3 r marc sangnier 45800 SAINT JEAN DE BRAYE;02 38 55 31 79
237;Lebeaume fils sarl;14 r bate 45140 INGRÉ;06 87 71 37 38
238;A.f. chauffage;41 r camille desmoulins 45120 CHÂLETTE SUR LOING;02 38 89 12 65
239;Lenoir eza;234 r etangs 41250 MONT PRÈS CHAMBORD;02 54 70 70 83
240;Green team services;44 bd lamartine 45000 ORLÉANS;06 49 95 31 95
241;Pro therm;90 all tourterelles 45770 SARAN;06 12 26 30 14
242;Leickman guillaume;4 r canal 45760 BOIGNY SUR BIONNE;06 79 09 59 12
243;Ragot julien;38 r maillets 45450 FAY AUX LOGES;02 38 59 04 05
244;Leterre philippe;32 r anges 41210 NEUNG SUR BEUVRON;02 54 83 67 43
245;Artisan du centre;390 bd victor hugo 45160 OLIVET;06 18 19 85 85
246;Aclimpac;355 r cesar finance 45240 LIGNY LE RIBAULT;06 42 20 22 45
247;Rm'elec;1 r biches 45520 CERCOTTES;06 43 49 09 92
248;Arcansia bâti-rénov;2 r petit pont 77167 ORMESSON;01 64 45 03 81
249;Cp2f45;34 rte rogny 45230 SAINTE GENEVIÈVE DES BOIS;02 38 92 58 97
250;Ly2s;535 r rivière 45130 BACCON;06 16 58 92 56
251;Thermelec;203 all bois vert 45640 SANDILLON;02 38 41 11 40
252;Entreprise mollière;8 r gustave eiffel 45380 LA CHAPELLE SAINT MESMIN;02 38 43 10 00
253;Moreira da costa sergio;21 r mairie 77167 CHÂTENOY;01 64 29 90 15
254;Cl'elec;1 chem hautes bordes 45560 SAINT DENIS EN VAL;06 50 42 69 11
255;Arms sarl;20 ham gueudreville 45480 BAZOCHES LES GALLERANDES;06 68 92 31 07
256;Entreprise mollière;8 r gustave eiffel 45380 LA CHAPELLE SAINT MESMIN;02 38 43 10 00
257;Thermotek;107 r bissonnerie 45800 SAINT JEAN DE BRAYE;02 38 55 69 76
258;Rm'elec;1 r biches 45520 CERCOTTES;06 43 49 09 92
259;Leroux thierry;3 i chem fromentin 45140 SAINT JEAN DE LA RUELLE;02 38 88 94 94
260;Martin remy;4 all sologne 41220 CROUY SUR COSSON;06 74 36 39 19
261;Cp2f45;34 rte rogny 45230 SAINTE GENEVIÈVE DES BOIS;02 38 92 58 97
262;Moreira da costa sergio;21 r mairie 77167 CHÂTENOY;01 64 29 90 15
263;Mont services;672 r gombaudiere 41250 MONT PRES CHAMBORD;02 54 70 80 45
264;Leloup nicolas;14 pl martroi 45260 LORRIS;02 38 94 81 46
265;Garanka technigaz membre;26 r nicephore niepce 45700 VILLEMANDEUR;02 38 85 20 29
266;Goujon dit chris christopher;27 r bezonde 45120 CORQUILLEROY;06 67 27 50 50
267;Kurtis service;17 r jules michelet 45100 ORLÉANS;07 63 55 37 30
268;Bojanin job plomberie chauffage;6 r autruche 45380 LA CHAPELLE SAINT MESMIN;02 38 43 33 97
269;Ly2s;535 r rivière 45130 BACCON;06 16 58 92 56
270;Leterre philippe;32 r anges 41210 NEUNG SUR BEUVRON;02 54 83 67 43
271;Arcansia bâti-rénov;2 r petit pont 77167 ORMESSON;01 64 45 03 81
272;A.e. 2.0alliance ecologie;18 r bernard palissy 45800 SAINT JEAN DE BRAYE;02 38 73 04 53
273;Jauger bonard sarl;1 r boulaye 41200 MILLANCAY;02 54 96 64 33
274;Thermotek;107 r bissonnerie 45800 SAINT JEAN DE BRAYE;02 38 55 69 76
275;Leloup nicolas;14 pl martroi 45260 LORRIS;02 38 94 81 46
276;Services delta;8 r chapotte 45150 JARGEAU;06 33 01 32 49
277;Entreprise antonio ubeda;17 r butte 45140 SAINT JEAN DE LA RUELLE;06 59 16 13 88
278;P.e.c;Les sassiers 45360 SAINT FIRMIN SUR LOIRE;02 38 37 07 46
279;Chifflet david (sarl);504 rte chatillon coligny 45220 CHATEAU RENARD;02 38 94 69 04
280;Sani confort;6 r haut châtelet 45120 CORQUILLEROY;02 38 98 27 42
281;Soc d'exploit des ets lenoir;2 imp chemin creux 45300 LE MALESHERBOIS;02 38 34 81 47
282;J.l.n services;64 r autry 45500 SAINT BRISSON SUR LOIRE;06 35 10 51 04
283;Lubin maintenance;8 r lucien bois 45140 SAINT JEAN DE LA RUELLE;02 38 66 51 37
284;Javoy frédéric;18 r tudelle 45100 ORLÉANS;06 74 56 09 71
285;Hargassner france centre sarl;R cousseaux 41300 SALBRIS;02 54 88 59 10
286;Easy chaudière;2 r mouchetière 45140 INGRÉ;02 46 90 00 13
287;D elec gen et ind morin et assoc soc;R champ de foire 45720 COULLONS;02 38 29 20 95
288;Dbc batiment;20 r vieux bourg 45700 VILLEMANDEUR;06 52 62 28 19
289;Pot françois eurl;10 r mairie 45480 LÉOUVILLE;02 38 39 69 19
290;Nauleau benjamin eurl;Les grelots 45570 OUZOUER SUR LOIRE;07 85 58 86 70
291;Torterat jerome;69 r 24 novembre 45270 LADON;06 61 43 55 61
292;Installations sanitaires thermiques 45 i.s.t. 45;233 r moulin 45160 OLIVET;06 82 67 28 10
293;T.c.a;2 r pontcourt 45650 SAINT JEAN LE BLANC;02 38 66 87 62
294;Services delta;8 r chapotte 45150 JARGEAU;06 33 01 32 49
295;Dppc;1 la piece du colombier 45510 VIENNE EN VAL;02 38 58 82 14
296;Soubieux nicolas sarl;4 bis r merceries 45170 TIVERNON;02 38 39 41 76
297;Pcfc45;108 r robert goupil 45130 LE BARDON;06 78 90 12 34
298;P2c;141 chem javonnieres 41230 MUR DE SOLOGNE;06 82 71 67 63
299;Entreprise antonio ubeda;17 r butte 45140 SAINT JEAN DE LA RUELLE;06 59 16 13 88
300;Cpce;42 r grande 77460 SOUPPES SUR LOING;06 03 85 78 97
301;Serge d.c.m.;21 r mairie 77167 CHÂTENOY;06 22 52 69 61
302;Maison energies renouvelables;23 r mar foch 45370 CLÉRY SAINT ANDRÉ;02 36 99 70 75
303;E.c.p du centre;397 r chariots 41250 MONT PRES CHAMBORD;254708069
304;Constantin thierry;108 r petite levée 45430 BOU;02 38 91 30 77
305;Lepage sa;58 r jargeau 45300 ASCOUX;02 38 33 00 88
306;Abraysienne chauffage plomberie;5 r pierre nobel 45700 VILLEMANDEUR;02 38 89 29 41
307;Cardoso anthonio;2 r pontcourt 45650 SAINT JEAN LE BLANC;02 38 66 87 62
308;Thermie-services room multi-service;126 av louis joseph soulas 45800 SAINT JEAN DE BRAYE;02 38 86 06 99
309;Dumuis guillaume;71 rte ferte 45150 FÉROLLES;02 38 59 72 67
310;Soc d'exploit des ets lenoir;2 imp chemin creux 45300 LE MALESHERBOIS;02 38 34 81 47
311;Pro&cie ryg adhérent sarl;2 rte grand orme 41230 SOINGS EN SOLOGNE;02 54 46 86 02
312;Ercc maintenance;11 a r mouchetière 45140 SAINT JEAN DE LA RUELLE;02 38 68 22 22
313;François jacky;Lieu-dit st sébastien 45220 CHÂTEAU RENARD;02 38 95 33 92
314;Belither fontaine bâtiment;44 r raymond gueremy 89170 SAINT FARGEAU;03 86 44 49 17
315;Tcpc sarl;917 r hôtel dieu 45160 OLIVET;06 83 82 42 58
316;Antelek;20 r gare 45600 VILLEMURLIN;02 38 36 03 59
317;Javoy frédéric;18 r tudelle 45100 ORLÉANS;06 74 56 09 71
318;D elec gen et ind morin et assoc soc;R champ de foire 45720 COULLONS;02 38 29 20 95
319;Castel-eco;3 r moussières 45110 CHÂTEAUNEUF SUR LOIRE;06 15 63 32 63
320;Berland claude;50 quai madeleine 45000 ORLÉANS;02 38 43 83 31
321;Meira david;5 pl louis veuillot 45300 BOYNES;06 84 87 26 07
322;Michello plombier chauffagiste;67 rte chaon 18410 BRINON SUR SAULDRE;06 67 23 54 65
323;H.v.d. van;1 r denis papin 45400 FLEURY LES AUBRAIS;06 67 48 00 98
324;Nauleau benjamin eurl;Les grelots 45570 OUZOUER SUR LOIRE;07 85 58 86 70
325;J.l.n services;64 r autry 45500 SAINT BRISSON SUR LOIRE;06 35 10 51 04
326;Easy chaudière;2 r mouchetière 45140 INGRÉ;02 46 90 00 13
327;Thermie-services room multi-service;126 av louis joseph soulas 45800 SAINT JEAN DE BRAYE;02 38 86 06 99
328;Plomberie fortin polisano;2 pl herse 28140 EOLE EN BEAUCE;06 08 82 63 13
329;P2c;141 chem javonnieres 41230 MUR DE SOLOGNE;06 82 71 67 63
330;Lepage sa;58 r jargeau 45300 ASCOUX;02 38 33 00 88
331;Feind christian;22 rte chicamour 45260 CHÂTENOY;02 38 55 11 92
332;Jmo eurl;La chabannerie 45250 BRIARE;02 38 37 11 74
333;Nauleau benjamin eurl;Les grelots 45570 OUZOUER SUR LOIRE;07 85 58 86 70
334;Makesse cyrille;46 bis pl gén leclerc 45170 NEUVILLE AUX BOIS;06 29 26 14 39
335;Serge d.c.m.;21 r mairie 77167 CHÂTENOY;06 22 52 69 61
336;Ei billault entreprise;20 r st lazare 45480 IZY;02 38 39 97 15
337;Castel-eco;3 r moussières 45110 CHÂTEAUNEUF SUR LOIRE;06 15 63 32 63
338;E.c.p du centre;397 r chariots 41250 MONT PRES CHAMBORD;254708069
339;Gonet;85 rte huetre 45520 GIDY;09 63 03 12 91
340;Robart patrick;56 r chailleuse 45150 FÉROLLES;02 38 59 85 34
341;Cr-tl dépannage;13 r clos neuf 45140 SAINT JEAN DE LA RUELLE;02 38 88 64 46
342;Mbjs;Rte douchy 45220 DOUCHY MONTCORBON;06 89 10 66 82
343;Demirci;24 r bourg neuf 41220 DHUIZON;02 54 98 39 76
344;Skikda energie;29 rte mans 45140 ORMES;06 23 35 61 29
345;Belither fontaine bâtiment;44 r raymond gueremy 89170 SAINT FARGEAU;03 86 44 49 17
346;Seb.3a;218 rte paris 45270 QUIERS SUR BÉZONDE;02 38 90 18 02
347;Balanca;14 av gatinais 77620 BRANSLES;01 64 28 51 84
348;Herpin renaud;47 r gabellière 45380 LA CHAPELLE SAINT MESMIN;02 38 43 75 06
349;P.e.c;Les sassiers 45360 SAINT FIRMIN SUR LOIRE;02 38 37 07 46
350;Javoy frédéric;18 r tudelle 45100 ORLÉANS;06 74 56 09 71
351;Hargassner france centre sarl;R cousseaux 41300 SALBRIS;02 54 88 59 10
352;Lubin energy;8 r lucien bois 45140 SAINT JEAN DE LA RUELLE;02 38 66 67 18
353;Serge d.c.m.;21 r mairie 77167 CHÂTENOY;06 22 52 69 61
354;Suberville arnaud;12 rte ancienne tuilerie 45210 PERS EN GÂTINAIS;06 03 25 88 38
355;P.e.c;Les sassiers 45360 SAINT FIRMIN SUR LOIRE;02 38 37 07 46
356;Mbjs;Rte douchy 45220 DOUCHY MONTCORBON;06 89 10 66 82
357;Dumuis guillaume;71 rte ferte 45150 FÉROLLES;02 38 59 72 67
358;A.d.e;47 r bezonde 45270 LADON;06 63 41 17 84
359;Orillon christophe;65 r egalite 41220 VILLENY;02 54 98 34 84
360;Services delta;8 r chapotte 45150 JARGEAU;06 33 01 32 49
361;Lepage sa;58 r jargeau 45300 ASCOUX;02 38 33 00 88
362;Pcfc45;108 r robert goupil 45130 LE BARDON;06 78 90 12 34
363;Galier michel;88 r alexandre dumas 45700 VILLEMANDEUR;02 38 98 04 77
364;Cr-tl dépannage;13 r clos neuf 45140 SAINT JEAN DE LA RUELLE;02 38 88 64 46
365;Ecomalténergie;17 lieu-dit bonlieu 45270 VILLEMOUTIERS;07 87 10 50 68
366;Lemesle pascal;23 r villeneuve 45130 BAULE;02 38 44 43 13
367;Alfa gaz;84 rte lorris 45700 CHEVILLON SUR HUILLARD;02 38 85 11 31
368;Balanca;14 av gatinais 77620 BRANSLES;01 64 28 51 84
369;Plomberie sor'eau;80 r jean bordier 45130 BAULE;06 63 79 46 84
370;Dbc batiment;20 r vieux bourg 45700 VILLEMANDEUR;06 52 62 28 19
371;Soc d'exploit des ets lenoir;2 imp chemin creux 45300 LE MALESHERBOIS;02 38 34 81 47
372;E.c.p du centre;397 r chariots 41250 MONT PRES CHAMBORD;254708069
373;Eiffage energie centre loire;395 av antibes 45200 AMILLY;02 38 95 07 00
374;P2c;141 chem javonnieres 41230 MUR DE SOLOGNE;06 82 71 67 63
375;Leloup dominique;33 all pêcheurs 45210 FONTENAY SUR LOING;02 38 95 78 15
376;M. talvard cyril;3 r gâtinais 45220 DOUCHY;02 38 87 14 16
377;Solar technic elec (sarl);397 le petit limetin 45260 LORRIS;02 38 93 84 98
378;Leloup;14 r petit saumery 41350 HUISSEAU SUR COSSON;06 78 34 96 88
379;Alimelec;7 r montfort 45170 NEUVILLE AUX BOIS;02 38 91 50 80
380;Cheminées caleo;2 quai barentin 45000 ORLÉANS;02 38 79 02 02
381;B.g.energies sas;342 rte orleans 45400 CHANTEAU;06 95 53 46 00
382;Sol' air centre sarl;13 r bernard palissy 45800 SAINT JEAN DE BRAYE;02 38 66 89 27
383;Climavia sarl;6 bis r pierre et marie curie 45240 LA FERTÉ SAINT AUBIN;06 16 32 02 13
384;Isofrance fenêtres & energies;41 rte de malesherbes 45390 PUISEAUX;02 38 33 37 36
385;Ecoaérothermie;36 all nivernais 45770 SARAN;06 64 21 55 61
386;Multifroid services;15 r passée à balance 45140 ORMES;02 38 70 56 46
387;Eco conseil;1 rte donzy 58200 SAINT PÈRE;03 86 24 34 79
388;Climelect 45 (eurl);5 r trois cornettes 45150 DARVOY;06 65 07 89 11
389;Polair val de loire;77 rte nationale 41500 SAINT DYE SUR LOIRE;02 54 81 09 36
390;Hervé thermique;10 r henri dunant 45140 SAINT JEAN DE LA RUELLE;02 38 70 87 00
391;Vannier froid climatisation;1 all vignottes 45600 LION EN SULLIAS;02 38 36 93 17
392;M.j.m;3 r jean monnet 45130 SAINT AY;02 38 44 47 23
393;Bdc energies;90 r alsace 45160 OLIVET;02 38 57 96 17
394;Servitechnique;Zone artisanale gabillons 45570 DAMPIERRE EN BURLY;02 38 35 55 43
395;Ab steam;90 r basse d'aulnay 41500 MER;07 83 60 44 22
396;Cofely;746 bd duhamel du monceau 45160 OLIVET;02 38 41 77 77
397;Placier sas;Zone industrielle 45270 BELLEGARDE;02 38 90 10 36
398;Société cosnoise d'electricité;6 r pasteur 58200 COSNE COURS SUR LOIRE;03 86 28 30 68
399;Hervé thermique;10 r henri dunant 45140 SAINT JEAN DE LA RUELLE;02 38 70 87 00
400;Egth (electricité générale thierry henault);85 r chêne vert 45770 SARAN;02 38 73 68 05
401;Spie opérations;14 r isaac newton 45800 SAINT JEAN DE BRAYE;02 38 59 54 88
402;Totale accessibilité;39 r bel air 45110 SAINT MARTIN D'ABBAT;06 16 33 12 65
403;Eco clim;40 rte nationale 45380 LA CHAPELLE SAINT MESMIN;02 38 43 81 44
404;Idées eau;7 rte pithiviers 45300 BOYNES;06 68 12 99 75
405;Dampierre froid et climatisation;7 r carmerie 45570 DAMPIERRE EN BURLY;06 19 95 76 04
406;Acr distribution centre;540 r léonard de vinci 45400 SEMOY;02 38 43 00 40
407;S.o.d.c (société orléanaise de distribution de chaleur);135 r faubourg bannier 45000 ORLÉANS;02 38 42 10 90
408;Fd habitat;Les taureaux 18700 OIZON;06 74 51 40 07
409;Imd installation maintenance dépannage;4 av blois 45190 BEAUGENCY;07 64 24 07 47
410;Idex;266 r chêne vert 45770 SARAN;02 38 21 77 99
411;Thermo centre sarl;6 r henri dunant 45140 INGRÉ;02 38 83 73 67
412;Omega thermique;149 all fosse le roi 45160 OLIVET;09 52 42 20 85
413;Sogeprog;6 rte orleans 45380 CHAINGY;09 84 29 29 35
414;Eco energie 91;2 bis r moulin 28310 OINVILLE SAINT LIPHARD;01 64 95 93 91
415;Fleury cédric;19 rte st sigismond 45130 EPIEDS EN BEAUCE;06 72 80 10 00
416;Gallier orléans electricité goe;160 r léon foucault 45140 SAINT JEAN DE LA RUELLE;02 38 70 72 00
417;Lesens actea;Zone activités la jouanne 45570 OUZOUER SUR LOIRE;02 38 35 01 22
418;Agir refrigeration (eurl);Lieu-dit fregerie 45260 MONTEREAU;02 18 49 31 30
419;Spie nucléaire;Le centre nucleaire 41220 SAINT LAURENT NOUAN;02 54 87 10 92
420;Vergnet sa;12 r châtaigniers 45140 ORMES;02 38 52 35 60
421;Projets sans frontieres;4 r germines 45190 BEAUGENCY;02 38 61 15 58
422;Bcs clim;20 r remparts 45130 MEUNG SUR LOIRE;06 73 59 59 99
423;Dalkia;17 r faubourg de la chaussée 45200 MONTARGIS;02 38 89 31 55
424;Agri energie sarl;Lieu-dit 3 chapeaux 45220 SAINT GERMAIN DES PRÉS;02 38 94 66 75
425;Europe energie;1470 r bergeresse 45160 OLIVET;02 38 22 54 04
426;Rev'solaire;19 r bernard palissy 45140 SAINT JEAN DE LA RUELLE;0 810 12 13 50
427;Giraudon didier;10 r motte 45490 MIGNERETTE;02 38 96 40 36
428;Métaclima (sarl);30 av jean beaudoin 45430 CHÉCY;06 76 33 32 81
429;Rattier patrick;196 r châteaudun 45190 BEAUGENCY;06 18 92 43 09
430;Dalkia;17 r faubourg de la chaussée 45200 MONTARGIS;02 38 89 31 55
431;Ryd'enr;6 r grande 77890 ICHY;01 64 28 73 17
432;Spie nucléaire;Le centre nucleaire 41220 SAINT LAURENT NOUAN;02 54 87 10 92
433;Société orléanaise d'electricité et de chauffage;10 rte bionne 45800 SAINT JEAN DE BRAYE;02 38 75 29 00
434;Eco energie;138 r selle 45200 AMILLY;06 01 33 67 23
435;Electriplac;Lieu-dit morier 45370 DRY;06 29 61 68 11
436;H2c hitachi heat chauffage et climatisation;3 r lavoisier 45140 INGRÉ;02 38 42 17 08
437;Bcs clim;20 r remparts 45130 MEUNG SUR LOIRE;06 73 59 59 99
438;Rev'solaire;19 r bernard palissy 45140 SAINT JEAN DE LA RUELLE;0 810 12 13 50
439;Voltaïs;16 r ardoise 45800 SAINT JEAN DE BRAYE;02 38 53 64 80
440;Guillemin climatisation sarl;636 r petit melleray 45560 SAINT DENIS EN VAL;06 98 18 15 03
441;Europe energie;1470 r bergeresse 45160 OLIVET;02 38 22 54 04
442;Champel;746 bd duhamel du monceau 45160 OLIVET;02 38 41 44 44
443;Ventolini;25 r lavoisier 45470 TRAÎNOU;02 38 21 52 99
444;Doudeau patrick;51 r mar leclerc 45430 CHÉCY;06 11 69 81 86
445;Taupin arnaud;8 chem bouesse 41250 MASLIVES;02 54 81 69 77
446;Energia engie;77 r alsace 45160 OLIVET;0 800 88 19 42
447;Cimag;31 r gare 45410 ARTENAY;02 38 80 06 29
448;Vergnet sa;12 r châtaigniers 45140 ORMES;02 38 52 35 60
449;De almeida antonio;10 r moreau 45300 PITHIVIERS;09 80 41 18 58
450;Société orléanaise d'electricité et de chauffage;10 rte bionne 45800 SAINT JEAN DE BRAYE;02 38 75 29 00
451;Voltaïs;16 r ardoise 45800 SAINT JEAN DE BRAYE;02 38 53 64 80
452;Cimag;31 r gare 45410 ARTENAY;02 38 80 06 29
453;Voltaïs;16 r ardoise 45800 SAINT JEAN DE BRAYE;02 38 53 64 80
454;Cimag;31 r gare 45410 ARTENAY;02 38 80 06 29
